Date,Close/Last,Volume,Open,High,Low
02/26/2021,$158.46,14417550,$162,$162.41,$157.97
02/25/2021,$162.76,9719715,$163.13,$163.7,$161.99
02/24/2021,$162.59,10286110,$162.4,$164.39,$160.92
02/23/2021,$160.44,7042829,$161.48,$163.19,$160.4
02/22/2021,$161.87,6447105,$161.87,$162.54,$160.29
02/19/2021,$162.98,8190883,$165.6,$165.96,$162.91
02/18/2021,$165.74,5191590,$164.96,$166.16,$164.3
02/17/2021,$165.66,6680909,$164.97,$166.09,$164.36
02/16/2021,$165.07,5656092,$166.58,$167.05,$164.64
02/12/2021,$166.58,4413066,$164.4,$166.85,$164
02/11/2021,$166.06,4871250,$167,$167.38,$165.6
02/10/2021,$166.81,5921312,$167.89,$167.94,$165.7
02/09/2021,$166.27,5544214,$165.2,$166.59,$164.97
02/08/2021,$164.92,6035341,$165.03,$165.9206,$163.88
02/05/2021,$164.45,9495309,$164.86,$165.44,$163.8601
02/04/2021,$161.99,7758128,$161,$162.09,$159.76
02/03/2021,$160.5,8601883,$160.94,$161.52,$159.57
02/02/2021,$161.25,11443250,$163.38,$163.66,$161.18
02/01/2021,$162.71,9971395,$165.31,$165.31,$162.6
01/29/2021,$163.13,22505860,$164.26,$166,$160.5527
01/28/2021,$169.16,8944399,$168.2,$170.86,$167.8
01/27/2021,$167.88,14207290,$169.12,$170.92,$167.45
01/26/2021,$170.48,14205690,$169.7,$173.65,$169.39
01/25/2021,$165.98,9924438,$165.01,$166.09,$163.66
01/22/2021,$163.55,8137018,$162.36,$165.155,$161.87
01/21/2021,$161.73,6822770,$161.32,$162.48,$160.06
01/20/2021,$162.38,6839850,$163.2,$164.14,$161.8
01/19/2021,$162.78,9057555,$162,$163.04,$161.1
01/15/2021,$160.3,7630813,$160.3,$161.4058,$159.1058
01/14/2021,$160.65,10030790,$160.45,$161.95,$159.61
01/13/2021,$157.89,6643065,$158.23,$158.455,$156.75
01/12/2021,$158.13,6903189,$159.15,$159.66,$157.33
01/11/2021,$159.37,7068176,$160.56,$161.32,$158.77
01/08/2021,$160.04,8228938,$160.51,$161.1,$159.88
01/07/2021,$160.37,7747161,$159,$161.03,$158.35
01/06/2021,$159.83,8230086,$157.24,$160.23,$156.72
01/05/2021,$158.34,9602290,$156.25,$158.76,$155.07
01/04/2021,$156.5,11765870,$157.24,$157.38,$154.13
12/31/2020,$157.38,5099880,$156.53,$157.66,$155.1098
12/30/2020,$156.05,5412775,$154.74,$156.38,$154.6
12/29/2020,$154.14,5211972,$154.11,$154.93,$153.8
12/28/2020,$153.19,3855466,$153.32,$153.87,$152.3
12/24/2020,$152.47,2114901,$151.85,$153.04,$151.82
12/23/2020,$151.94,4607275,$152.8,$153.603,$151.9
12/22/2020,$152.72,4703185,$152.4,$153.9,$151.86
12/21/2020,$153.02,7893359,$152.01,$153.41,$150.05
